"운영일","PPC","hash","SKU","UNIT","SKU당 피킹시간","UNIT당 피킹시간","주차","월","년"
"2025-05-07","송파신천점","6qK2IPzF",439,682.0,"0.23",0.15079178885630498,19,5,2025
"2025-05-07","김해점","kLiKxW0x",222,315.0,"0.23",0.1614920634920635,19,5,2025
"2025-05-07","평택점","xQXyy0BS",697,1024.0,"0.35",0.23748046875,19,5,2025
"2025-05-07","군포점","9euBk2gc",378,546.0,"0.26",0.17809523809523808,19,5,2025
"2025-05-07","강남양재점","gxhn2ECd",288,442.0,"0.23",0.15090497737556563,19,5,2025
"2025-05-07","성동옥수점","raRtCqrC",748,1174.0,"0.26",0.16339011925042587,19,5,2025
"2025-05-07","대구중구점","zNl75Fqj",444,584.0,"0.26",0.19919520547945205,19,5,2025
"2025-05-07","영등포신길점","D6ihwRTF",301,481.0,"0.40",0.24738045738045736,19,5,2025
"2025-05-07","인천연수점","mra1QP8J",475,672.0,"0.18",0.12915178571428573,19,5,2025
"2025-05-07","중랑면목점","T6K4WlvC",148,225.0,"0.33",0.21431111111111112,19,5,2025
"2025-05-07","수원인계점","x3ZYJSqg",551,845.0,"0.29",0.1897751479289941,19,5,2025
"2025-05-07","원주점","P91CIyGj",233,341.0,"0.51",0.34794721407624635,19,5,2025
"2025-05-07","부산진구점","TwJ2Lv6M",384,573.0,"0.21",0.13926701570680627,19,5,2025
"2025-05-07","대구중구점","7JCpWfSD",767,1095.0,"0.28",0.19499543378995435,19,5,2025
"2025-05-07","동탄점","IzRrFiI3",321,484.0,"0.34",0.2253099173553719,19,5,2025
"2025-05-07","성남점","RTODwtc5",369,528.0,"0.26",0.18102272727272728,19,5,2025
"2025-05-07","수원인계점","Oe74veN1",260,417.0,"0.46",0.2861630695443645,19,5,2025
"2025-05-07","인천부평점","W6O4SpkK",35,52.0,"0.28",0.19019230769230772,19,5,2025
"2025-05-07","강서가양점","rz7euC4u",24,34.0,"0.84",0.5961764705882353,19,5,2025
"2025-05-07","대구달서점","cSa2FNQc",757,1078.0,"0.30",0.2111038961038961,19,5,2025
"2025-05-07","광진자양점","qd50e8SQ",48,61.0,"0.30",0.2362295081967213,19,5,2025
"2025-05-07","마포상암점","175fpiET",291,391.0,"0.23",0.16897698209718667,19,5,2025
"2025-05-07","부천점","CkhYuetU",11,17.0,"0.21",0.1341176470588235,19,5,2025
