"date","center_name","주문(취소제외)"
"2025-04-01","강남논현점",9813
"2025-04-01","강남압구정점",4093
"2025-04-01","강남양재점",8244
"2025-04-01","강동천호점",8468
"2025-04-01","강북미아점",9258
"2025-04-01","강서가양점",9205
"2025-04-01","강서화곡점",13282
"2025-04-01","고양점",3404
"2025-04-01","관악신림점",11680
"2025-04-01","광진자양점",9427
"2025-04-01","구로신도림점",6435
"2025-04-01","구리점",5581
"2025-04-01","군포점",3680
"2025-04-01","금천독산점",7880
"2025-04-01","김포점",6135
"2025-04-01","김해점",3389
"2025-04-01","노원중계점",7376
"2025-04-01","대구달서점",7232
"2025-04-01","대구북구점",3519
"2025-04-01","대구수성점",5312
"2025-04-01","대구중구점",5052
"2025-04-01","대전서구점",9288
"2025-04-01","대전유성점",4793
"2025-04-01","대전중구점",7365
"2025-04-01","도봉쌍문점",10427
"2025-04-01","동대문제기점",10788
"2025-04-01","동작상도점",6296
"2025-04-01","동탄점",8563
"2025-04-01","마포상암점",6295
"2025-04-01","부산남구점",4651
"2025-04-01","부산동래점",6054
"2025-04-01","부산사하점",4017
"2025-04-01","부산진구점",8485
"2025-04-01","부산해운대점",3462
"2025-04-01","부천점",10690
"2025-04-01","분당점",9202
"2025-04-01","서대문신촌점",15909
"2025-04-01","서초교대점",6083
"2025-04-01","서초내방점",6630
"2025-04-01","서초반포점",4687
"2025-04-01","성남점",9588
"2025-04-01","성동옥수점",7038
"2025-04-01","송파문정점",5523
"2025-04-01","송파신천점",3641
"2025-04-01","송파잠실점",6043
"2025-04-01","수원광교점",5486
"2025-04-01","수원권선점",5225
"2025-04-01","수원인계점",11477
"2025-04-01","시흥점",5918
"2025-04-01","안산점",10965
"2025-04-01","안양점",7349
"2025-04-01","영등포신길점",8163
"2025-04-01","오산점",6617
"2025-04-01","용산한남점",7005
"2025-04-01","용인점",7322
"2025-04-01","울산남구점",5318
"2025-04-01","원주점",7070
"2025-04-01","은평점",7433
"2025-04-01","의정부점",8373
"2025-04-01","인천검단점",2852
"2025-04-01","인천남부점",12415
"2025-04-01","인천부평점",14623
"2025-04-01","인천연수점",7648
"2025-04-01","인천용현점",5138
"2025-04-01","인천청라점",6852
"2025-04-01","일산점",7925
"2025-04-01","중구명동점",4965
"2025-04-01","중랑면목점",9044
"2025-04-01","창원점",3304
"2025-04-01","천안점",11865
"2025-04-01","청주상당점",5705
"2025-04-01","청주흥덕점",6148
"2025-04-01","춘천점",2361
"2025-04-01","파주점",6464
"2025-04-01","평택고덕점",2657
"2025-04-01","평택점",9803
"2025-04-01","하남점",6261
"2025-04-02","강남논현점",8102
"2025-04-02","강남압구정점",4542
"2025-04-02","강남양재점",8454
"2025-04-02","강동천호점",7666
"2025-04-02","강북미아점",8541
"2025-04-02","강서가양점",8916
"2025-04-02","강서화곡점",13504
"2025-04-02","고양점",3469
"2025-04-02","관악신림점",10999
"2025-04-02","광진자양점",9521
"2025-04-02","구로신도림점",6013
"2025-04-02","구리점",5574
"2025-04-02","군포점",3570
"2025-04-02","금천독산점",7171
"2025-04-02","김포점",5582
"2025-04-02","김해점",2782
"2025-04-02","노원중계점",6882
"2025-04-02","대구달서점",6083
"2025-04-02","대구북구점",3039
"2025-04-02","대구수성점",5039
"2025-04-02","대구중구점",4716
"2025-04-02","대전서구점",8414
"2025-04-02","대전유성점",4593
"2025-04-02","대전중구점",6183
"2025-04-02","도봉쌍문점",9805
"2025-04-02","동대문제기점",9717
"2025-04-02","동작상도점",6091
"2025-04-02","동탄점",7649
"2025-04-02","마포상암점",5665
"2025-04-02","부산남구점",4260
"2025-04-02","부산동래점",5573
"2025-04-02","부산사하점",3327
"2025-04-02","부산진구점",7129
"2025-04-02","부산해운대점",2944
"2025-04-02","부천점",10004
"2025-04-02","분당점",9193
"2025-04-02","서대문신촌점",13719
"2025-04-02","서초교대점",5046
"2025-04-02","서초내방점",6085
"2025-04-02","서초반포점",4500
"2025-04-02","성남점",8642
"2025-04-02","성동옥수점",6537
"2025-04-02","송파문정점",5282
"2025-04-02","송파신천점",3932
"2025-04-02","송파잠실점",5656
"2025-04-02","수원광교점",5297
"2025-04-02","수원권선점",4304
"2025-04-02","수원인계점",10324
"2025-04-02","시흥점",4572
"2025-04-02","안산점",9461
"2025-04-02","안양점",6893
"2025-04-02","영등포신길점",8505
"2025-04-02","오산점",5604
"2025-04-02","용산한남점",6358
"2025-04-02","용인점",6586
"2025-04-02","울산남구점",4765
"2025-04-02","원주점",6337
"2025-04-02","은평점",7431
"2025-04-02","의정부점",7731
"2025-04-02","인천검단점",3184
"2025-04-02","인천남부점",10319
"2025-04-02","인천부평점",12624
"2025-04-02","인천연수점",6981
"2025-04-02","인천용현점",4794
"2025-04-02","인천청라점",6550
"2025-04-02","일산점",7232
"2025-04-02","중구명동점",4879
"2025-04-02","중랑면목점",7969
"2025-04-02","창원점",2878
"2025-04-02","천안점",10468
"2025-04-02","청주상당점",5179
"2025-04-02","청주흥덕점",5601
"2025-04-02","춘천점",2403
"2025-04-02","파주점",5761
"2025-04-02","평택고덕점",2874
"2025-04-02","평택점",8903
"2025-04-02","하남점",5284
"2025-04-03","강남논현점",8580
"2025-04-03","강남압구정점",4122
"2025-04-03","강남양재점",8629
"2025-04-03","강동천호점",7303
"2025-04-03","강북미아점",7758
"2025-04-03","강서가양점",8240
"2025-04-03","강서화곡점",11260
"2025-04-03","고양점",2819
"2025-04-03","관악신림점",8976
"2025-04-03","광진자양점",8191
"2025-04-03","구로신도림점",5534
"2025-04-03","구리점",5098
"2025-04-03","군포점",3481
"2025-04-03","금천독산점",6613
"2025-04-03","김포점",5034
"2025-04-03","김해점",3069
"2025-04-03","노원중계점",6398
"2025-04-03","대구달서점",6030
"2025-04-03","대구북구점",2903
"2025-04-03","대구수성점",5012
"2025-04-03","대구중구점",3994
"2025-04-03","대전서구점",7800
"2025-04-03","대전유성점",3543
"2025-04-03","대전중구점",5344
"2025-04-03","도봉쌍문점",9492
"2025-04-03","동대문제기점",8442
"2025-04-03","동작상도점",4877
"2025-04-03","동탄점",7396
"2025-04-03","마포상암점",4721
"2025-04-03","부산남구점",4226
"2025-04-03","부산동래점",5354
"2025-04-03","부산사하점",3341
"2025-04-03","부산진구점",6689
"2025-04-03","부산해운대점",2849
"2025-04-03","부천점",9255
"2025-04-03","분당점",8753
"2025-04-03","서대문신촌점",13656
"2025-04-03","서초교대점",4925
"2025-04-03","서초내방점",5517
"2025-04-03","서초반포점",4890
"2025-04-03","성남점",8090
"2025-04-03","성동옥수점",5355
"2025-04-03","송파문정점",5336
"2025-04-03","송파신천점",3490
"2025-04-03","송파잠실점",5980
"2025-04-03","수원광교점",4712
"2025-04-03","수원권선점",4151
"2025-04-03","수원인계점",10106
"2025-04-03","시흥점",4679
"2025-04-03","안산점",8570
"2025-04-03","안양점",6284
"2025-04-03","영등포신길점",7552
"2025-04-03","오산점",4732
"2025-04-03","용산한남점",5867
"2025-04-03","용인점",6097
"2025-04-03","울산남구점",4366
"2025-04-03","원주점",6174
"2025-04-03","은평점",6597
"2025-04-03","의정부점",6619
"2025-04-03","인천검단점",2440
"2025-04-03","인천남부점",9604
"2025-04-03","인천부평점",11547
"2025-04-03","인천연수점",6132
"2025-04-03","인천용현점",4562
"2025-04-03","인천청라점",5504
"2025-04-03","일산점",6666
"2025-04-03","중구명동점",4186
"2025-04-03","중랑면목점",7131
"2025-04-03","창원점",2850
"2025-04-03","천안점",9435
"2025-04-03","청주상당점",4905
"2025-04-03","청주흥덕점",4962
"2025-04-03","춘천점",2308
"2025-04-03","파주점",5203
"2025-04-03","평택고덕점",2363
"2025-04-03","평택점",8072
"2025-04-03","하남점",5596
"2025-04-04","강남논현점",8565
"2025-04-04","강남압구정점",5040
"2025-04-04","강남양재점",9584
"2025-04-04","강동천호점",7604
"2025-04-04","강북미아점",8168
"2025-04-04","강서가양점",8878
"2025-04-04","강서화곡점",12108
"2025-04-04","고양점",3145
"2025-04-04","관악신림점",10240
"2025-04-04","광진자양점",9270
"2025-04-04","구로신도림점",6146
"2025-04-04","구리점",5292
"2025-04-04","군포점",3456
"2025-04-04","금천독산점",6737
"2025-04-04","김포점",4891
"2025-04-04","김해점",2620
"2025-04-04","노원중계점",6698
"2025-04-04","대구달서점",5637
"2025-04-04","대구북구점",2541
"2025-04-04","대구수성점",4708
"2025-04-04","대구중구점",4187
"2025-04-04","대전서구점",8158
"2025-04-04","대전유성점",3928
"2025-04-04","대전중구점",5645
"2025-04-04","도봉쌍문점",9122
"2025-04-04","동대문제기점",9825
"2025-04-04","동작상도점",5952
"2025-04-04","동탄점",7400
"2025-04-04","마포상암점",5609
"2025-04-04","부산남구점",4404
"2025-04-04","부산동래점",5099
"2025-04-04","부산사하점",3005
"2025-04-04","부산진구점",6258
"2025-04-04","부산해운대점",2975
"2025-04-04","부천점",9194
"2025-04-04","분당점",9413
"2025-04-04","서대문신촌점",16107
"2025-04-04","서초교대점",5393
"2025-04-04","서초내방점",5975
"2025-04-04","서초반포점",4729
"2025-04-04","성남점",8540
"2025-04-04","성동옥수점",6507
"2025-04-04","송파문정점",5069
"2025-04-04","송파신천점",3682
"2025-04-04","송파잠실점",6002
"2025-04-04","수원광교점",5232
"2025-04-04","수원권선점",4501
"2025-04-04","수원인계점",10259
"2025-04-04","시흥점",5329
"2025-04-04","안산점",8641
"2025-04-04","안양점",6909
"2025-04-04","영등포신길점",8808
"2025-04-04","오산점",5174
"2025-04-04","용산한남점",6907
"2025-04-04","용인점",6790
"2025-04-04","울산남구점",4337
"2025-04-04","원주점",5712
"2025-04-04","은평점",7203
"2025-04-04","의정부점",6426
"2025-04-04","인천검단점",2756
"2025-04-04","인천남부점",9730
"2025-04-04","인천부평점",12483
"2025-04-04","인천연수점",6433
"2025-04-04","인천용현점",4345
"2025-04-04","인천청라점",5527
"2025-04-04","일산점",6862
"2025-04-04","중구명동점",5076
"2025-04-04","중랑면목점",7230
"2025-04-04","창원점",3282
"2025-04-04","천안점",9736
"2025-04-04","청주상당점",4892
"2025-04-04","청주흥덕점",5791
"2025-04-04","춘천점",2088
"2025-04-04","파주점",5403
"2025-04-04","평택고덕점",2590
"2025-04-04","평택점",7926
"2025-04-04","하남점",4985
"2025-04-05","강남논현점",11194
"2025-04-05","강남압구정점",5433
"2025-04-05","강남양재점",12415
"2025-04-05","강동천호점",13646
"2025-04-05","강북미아점",12816
"2025-04-05","강서가양점",14324
"2025-04-05","강서화곡점",20029
"2025-04-05","고양점",5495
"2025-04-05","관악신림점",17480
"2025-04-05","광진자양점",14783
"2025-04-05","구로신도림점",9535
"2025-04-05","구리점",8393
"2025-04-05","군포점",5344
"2025-04-05","금천독산점",11819
"2025-04-05","김포점",7846
"2025-04-05","김해점",3708
"2025-04-05","노원중계점",10626
"2025-04-05","대구달서점",7939
"2025-04-05","대구북구점",3897
"2025-04-05","대구수성점",6215
"2025-04-05","대구중구점",5265
"2025-04-05","대전서구점",12048
"2025-04-05","대전유성점",5934
"2025-04-05","대전중구점",8747
"2025-04-05","도봉쌍문점",15235
"2025-04-05","동대문제기점",14880
"2025-04-05","동작상도점",9290
"2025-04-05","동탄점",9597
"2025-04-05","마포상암점",9636
"2025-04-05","부산남구점",5413
"2025-04-05","부산동래점",7350
"2025-04-05","부산사하점",4140
"2025-04-05","부산진구점",8860
"2025-04-05","부산해운대점",4158
"2025-04-05","부천점",15059
"2025-04-05","분당점",14616
"2025-04-05","서대문신촌점",22288
"2025-04-05","서초교대점",7589
"2025-04-05","서초내방점",10095
"2025-04-05","서초반포점",6934
"2025-04-05","성남점",13885
"2025-04-05","성동옥수점",10164
"2025-04-05","송파문정점",8843
"2025-04-05","송파신천점",5918
"2025-04-05","송파잠실점",9792
"2025-04-05","수원광교점",7923
"2025-04-05","수원권선점",6692
"2025-04-05","수원인계점",15927
"2025-04-05","시흥점",7840
"2025-04-05","안산점",14343
"2025-04-05","안양점",11294
"2025-04-05","영등포신길점",14313
"2025-04-05","오산점",7519
"2025-04-05","용산한남점",9187
"2025-04-05","용인점",11330
"2025-04-05","울산남구점",6411
"2025-04-05","원주점",8752
"2025-04-05","은평점",11717
"2025-04-05","의정부점",10416
"2025-04-05","인천검단점",4675
"2025-04-05","인천남부점",14002
"2025-04-05","인천부평점",20771
"2025-04-05","인천연수점",10667
"2025-04-05","인천용현점",6683
"2025-04-05","인천청라점",8577
"2025-04-05","일산점",10203
"2025-04-05","중구명동점",6421
"2025-04-05","중랑면목점",12450
"2025-04-05","창원점",4507
"2025-04-05","천안점",14178
"2025-04-05","청주상당점",7359
"2025-04-05","청주흥덕점",8525
"2025-04-05","춘천점",3700
"2025-04-05","파주점",8027
"2025-04-05","평택고덕점",3990
"2025-04-05","평택점",12506
"2025-04-05","하남점",8759
"2025-04-06","강남논현점",11192
"2025-04-06","강남압구정점",5117
"2025-04-06","강남양재점",12290
"2025-04-06","강동천호점",11973
"2025-04-06","강북미아점",12464
"2025-04-06","강서가양점",12917
"2025-04-06","강서화곡점",19072
"2025-04-06","고양점",4995
"2025-04-06","관악신림점",15943
"2025-04-06","광진자양점",13939
"2025-04-06","구로신도림점",9249
"2025-04-06","구리점",7692
"2025-04-06","군포점",5145
"2025-04-06","금천독산점",10917
"2025-04-06","김포점",7115
"2025-04-06","김해점",3908
"2025-04-06","노원중계점",9507
"2025-04-06","대구달서점",8933
"2025-04-06","대구북구점",4174
"2025-04-06","대구수성점",6923
"2025-04-06","대구중구점",6342
"2025-04-06","대전서구점",11110
"2025-04-06","대전유성점",6098
"2025-04-06","대전중구점",8950
"2025-04-06","도봉쌍문점",13851
