"일자","시간대","PPC명","hash","피킹건수","패킹건수","피킹SKU수","패킹SKU수","피패킹MH","피킹대기MH","피킹MH","패킹MH","피킹대기생산성","피킹생산성","패킹생산성","피패킹생산성"
"2025-04-19","22","강서가양점","SmGRiM7I",8,8,49,48,"0.485000","0.066667","0.245000","0.173333","119.999400","32.653061","46.153935","16.494845"
"2025-04-19","22","강서가양점","YqrlcKDQ",9,9,54,54,"0.521667","0.183333","0.216667","0.121667","49.090998","41.538398","73.972400","17.252385"
"2025-04-19","22","강서가양점","bmVDog4f",0,1,8,10,"0.086667","0.035000","0.031667","0.020000",null,null,"50.000000",null
"2025-04-19","22","강서가양점","gYAGKqf9",5,5,35,35,"0.495000","0.110000","0.251667","0.133333","45.454545","19.867523","37.500094","10.101010"
"2025-04-19","22","강서가양점","k0Fw4FtR",3,4,34,47,"0.526667","0.110000","0.258333","0.158333","27.272727","11.612918","25.263211","6.159115"
"2025-04-19","22","강서가양점","mYcXtfu3",4,4,21,19,"0.213333","0.090000","0.073333","0.050000","44.444444","54.545702","80.000000","18.750117"
"2025-04-19","22","부천점","F2nJjkpp",8,9,69,69,"0.616667","0.113333","0.301667","0.201667","70.588443","26.519308","44.628025","13.462212"
"2025-04-19","22","부천점","QkYnP6mH",9,9,70,58,"0.856667","0.260000","0.351667","0.245000","34.615385","25.592393","36.734694","10.505857"
"2025-04-19","22","부천점","WyhL9wUW",14,13,82,82,"1.000000","0.215000","0.468333","0.316667","60.465116","29.893260","41.052588","13.450080"
"2025-04-19","22","부천점","eBzmE4nx",14,15,85,86,"0.998333","0.205000","0.500000","0.293333","68.292683","28.000000","51.136422","14.303491"
"2025-04-19","22","부천점","eED1ubfK",0,1,null,3,"0.023333","0.021667","0.000000","0.001667",null,null,"599.880024",null
"2025-04-19","22","부천점","mETIww01",11,12,63,64,"0.900000","0.265000","0.401667","0.233333","41.509434","27.385869","51.428645","12.492192"
"2025-04-19","22","부천점","rKFdMddj",9,8,46,43,"0.490000","0.101667","0.235000","0.153333","78.688267","38.297872","52.174026","17.245542"
"2025-04-19","22","중랑면목점","CCwiNsZr",15,15,92,87,"1.000000","0.263333","0.468333","0.268333","56.962097","32.028493","55.900691","14.999925"
"2025-04-19","22","중랑면목점","EDM9weuW",16,17,106,107,"1.001667","0.206667","0.520000","0.275000","77.419230","30.769231","61.818182","16.235611"
"2025-04-19","22","중랑면목점","T6K4WlvC",5,6,38,43,"0.401667","0.111667","0.178333","0.111667","44.775986","28.037436","53.731183","13.052956"
"2025-04-19","22","중랑면목점","obtxdGaF",9,8,66,57,"0.638333","0.135000","0.401667","0.101667","59.259259","22.406620","78.688267","13.474728"
"2025-04-19","22","중랑면목점","pcHay5pp",0,1,1,5,"0.023333","0.006667","0.005000","0.011667",null,null,"85.711837",null
"2025-04-19","22","중랑면목점","qTzr0nAB",10,10,71,71,"0.680000","0.186667","0.335000","0.158333","53.571333","29.850746","63.158028","14.705882"
"2025-04-19","22","중랑면목점","rrTjsfMR",7,8,43,45,"0.495000","0.096667","0.250000","0.148333","72.413543","28.000000","53.932705","14.691623"
"2025-04-19","23","강서가양점","4xip1RMz",12,12,74,73,"1.000000","0.163333","0.471667","0.365000","73.469538","25.441678","32.876712","11.999904"
"2025-04-19","23","강서가양점","IAG5A92Y",10,10,74,72,"1.001667","0.241667","0.450000","0.310000","41.379253","22.222222","32.258065","9.983328"
"2025-04-19","23","강서가양점","OirCkwB4",12,13,89,84,"0.956667","0.163333","0.483333","0.310000","73.469538","24.827603","41.935484","12.864218"
"2025-04-19","23","강서가양점","SmGRiM7I",14,14,119,110,"1.000000","0.138333","0.546667","0.315000","101.205063","25.609740","44.444444","13.999916"
"2025-04-19","23","강서가양점","YqrlcKDQ",2,2,6,6,"0.066667","0.023333","0.025000","0.018333","85.715510","80.000000","109.092893","30.000300"
"2025-04-19","23","강서가양점","bmVDog4f",6,6,53,51,"0.581667","0.248333","0.220000","0.113333","24.161106","27.272727","52.941332","10.315127"
"2025-04-19","23","강서가양점","mYcXtfu3",1,1,12,12,"0.063333","0.016667","0.033333","0.013333","59.998800","30.000300","75.001875","15.789557"
"2025-04-19","23","부천점","B6hHBJQa",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","23","부천점","F2nJjkpp",15,14,93,91,"0.840000","0.146667","0.451667","0.241667","95.454329","33.210308","57.930955","17.286384"
"2025-04-19","23","부천점","QkYnP6mH",null,null,null,null,"0.001667","0.001667","0.000000","0.000000",null,null,null,null
"2025-04-19","23","부천점","WyhL9wUW",10,11,84,80,"0.996667","0.176667","0.563333","0.256667","56.603667","17.751490","42.857087","10.274008"
"2025-04-19","23","부천점","eBzmE4nx",null,null,null,null,"0.008333","0.008333","0.000000","0.000000",null,null,null,null
"2025-04-19","23","부천점","mETIww01",14,14,83,81,"1.000000","0.251667","0.471667","0.276667","55.629065","29.681958","50.602349","14.000112"
"2025-04-19","23","부천점","rKFdMddj",6,7,40,39,"0.523333","0.071667","0.286667","0.165000","83.720541","20.930208","42.424242","12.005811"
"2025-04-19","23","중랑면목점","CCwiNsZr",6,6,39,38,"0.500000","0.126667","0.215000","0.158333","47.368296","27.906977","37.894817","12.000048"
"2025-04-19","23","중랑면목점","EDM9weuW",17,16,108,99,"0.951667","0.233333","0.475000","0.243333","68.571527","35.789474","65.753515","17.321416"
"2025-04-19","23","중랑면목점","T6K4WlvC",2,1,8,5,"0.088333","0.026667","0.055000","0.006667","37.499531","36.363636","149.992500","16.438176"
"2025-04-19","23","중랑면목점","obtxdGaF",14,14,94,100,"0.998333","0.145000","0.616667","0.236667","96.551724","22.702690","59.154846","14.023279"
"2025-04-19","23","중랑면목점","qTzr0nAB",13,13,92,90,"0.951667","0.450000","0.401667","0.100000","28.888889","32.365118","130.000000","13.660456"
