"date","name","hash","split_order_id","sku_code","prev_dt","dt","diff_seconds"
"2025-05-10","부천점","oOs9exjt","166381875","A20004202","2025-05-10 06:07:49","2025-05-10 06:08:00",11
"2025-05-10","부천점","oOs9exjt","166381875","S0003294","2025-05-10 06:08:00","2025-05-10 06:08:39",39
"2025-05-10","부천점","oOs9exjt","166381875","A21007337","2025-05-10 06:08:39","2025-05-10 06:08:54",14
"2025-05-10","부천점","oOs9exjt","166381875","S0005837","2025-05-10 06:08:54","2025-05-10 06:09:31",37
"2025-05-10","부천점","BHoqohab","166381893","A20000871","2025-05-10 06:10:22","2025-05-10 06:10:48",25
"2025-05-10","부천점","BHoqohab","166381893","A20001453","2025-05-10 06:10:48","2025-05-10 06:11:12",24
"2025-05-10","부천점","BHoqohab","166381893","A21008041","2025-05-10 06:11:12","2025-05-10 06:11:22",10
"2025-05-10","부천점","BHoqohab","166381893","A20003851","2025-05-10 06:11:22","2025-05-10 06:11:33",10
"2025-05-10","부천점","BHoqohab","166381893","A21006525","2025-05-10 06:11:33","2025-05-10 06:11:42",9
"2025-05-10","부천점","BHoqohab","166381893","A20003366","2025-05-10 06:11:42","2025-05-10 06:11:51",9
"2025-05-10","부천점","BHoqohab","166381893","A21015575","2025-05-10 06:11:51","2025-05-10 06:12:10",19
"2025-05-10","부천점","53WqSC3B","166381996","S0006123","2025-05-10 06:43:11","2025-05-10 06:43:24",12
"2025-05-10","부천점","53WqSC3B","166381996","A20001016","2025-05-10 06:43:24","2025-05-10 06:43:32",8
"2025-05-10","부천점","53WqSC3B","166381996","A21018601","2025-05-10 06:43:32","2025-05-10 06:43:37",5
"2025-05-10","부천점","53WqSC3B","166381996","S0006107","2025-05-10 06:43:37","2025-05-10 06:43:43",6
"2025-05-10","부천점","53WqSC3B","166381996","A21014660","2025-05-10 06:43:43","2025-05-10 06:43:49",5
"2025-05-10","부천점","53WqSC3B","166381996","A21012708","2025-05-10 06:43:49","2025-05-10 06:43:59",9
"2025-05-10","부천점","53WqSC3B","166381996","A20003012","2025-05-10 06:43:59","2025-05-10 06:44:08",9
"2025-05-10","부천점","53WqSC3B","166381996","A38005242","2025-05-10 06:44:08","2025-05-10 06:44:35",26
"2025-05-10","부천점","53WqSC3B","166381996","S0000796","2025-05-10 06:44:35","2025-05-10 06:44:43",7
"2025-05-10","부천점","53WqSC3B","166381996","A21014668","2025-05-10 06:44:43","2025-05-10 06:44:59",16
"2025-05-10","부천점","KbHNLAWS","166382325","A21016173","2025-05-10 16:30:19","2025-05-10 16:30:32",12
"2025-05-10","부천점","KbHNLAWS","166382325","A21014870","2025-05-10 16:30:32","2025-05-10 16:30:36",4
"2025-05-10","부천점","KbHNLAWS","166382325","A21018972","2025-05-10 16:30:36","2025-05-10 16:30:47",10
"2025-05-10","부천점","KbHNLAWS","166382325","S0000564","2025-05-10 16:30:47","2025-05-10 16:30:53",6
"2025-05-10","부천점","KbHNLAWS","166382325","S0002747","2025-05-10 16:30:53","2025-05-10 16:31:06",12
"2025-05-10","부천점","KbHNLAWS","166382325","S0006063","2025-05-10 16:31:06","2025-05-10 16:31:13",6
"2025-05-10","부천점","KbHNLAWS","166382325","A20000683","2025-05-10 16:31:13","2025-05-10 16:31:42",29
"2025-05-10","부천점","KbHNLAWS","166382325","A21006959","2025-05-10 16:31:42","2025-05-10 16:32:12",29
"2025-05-10","부천점","KbHNLAWS","166382325","A21021710","2025-05-10 16:32:12","2025-05-10 16:32:28",16
"2025-05-10","부천점","oOs9exjt","166382334","S0006726","2025-05-10 09:31:20","2025-05-10 09:31:33",13
"2025-05-10","부천점","oOs9exjt","166382334","A20004202","2025-05-10 09:31:33","2025-05-10 09:31:45",11
"2025-05-10","부천점","oOs9exjt","166382334","A20000255","2025-05-10 09:31:45","2025-05-10 09:31:53",7
"2025-05-10","부천점","oOs9exjt","166382334","S0006728","2025-05-10 09:31:53","2025-05-10 09:32:36",43
"2025-05-10","부천점","oOs9exjt","166382334","A21006959","2025-05-10 09:32:36","2025-05-10 09:32:48",12
"2025-05-10","부천점","oOs9exjt","166382334","A21021853","2025-05-10 09:32:48","2025-05-10 09:33:08",19
"2025-05-10","부천점","oOs9exjt","166382334","A21016894","2025-05-10 09:33:08","2025-05-10 09:33:51",42
"2025-05-10","부천점","ek7EouT6","166382358","A20003442","2025-05-10 09:31:43","2025-05-10 09:32:13",29
"2025-05-10","부천점","ek7EouT6","166382358","A20000255","2025-05-10 09:32:13","2025-05-10 09:32:37",24
"2025-05-10","부천점","ek7EouT6","166382358","A38000621","2025-05-10 09:32:37","2025-05-10 09:33:17",40
"2025-05-10","부천점","ek7EouT6","166382358","A21018546","2025-05-10 09:33:17","2025-05-10 09:33:35",17
"2025-05-10","부천점","ek7EouT6","166382358","A21002236","2025-05-10 09:33:35","2025-05-10 09:35:49",134
"2025-05-10","부천점","vqdeN3Np","166382375","A20002706","2025-05-10 06:06:05","2025-05-10 06:06:26",20
"2025-05-10","부천점","vqdeN3Np","166382375","A21008647","2025-05-10 06:06:26","2025-05-10 06:06:44",18
"2025-05-10","부천점","vqdeN3Np","166382375","A21010461","2025-05-10 06:06:44","2025-05-10 06:06:51",6
"2025-05-10","부천점","vqdeN3Np","166382375","A21004466","2025-05-10 06:06:51","2025-05-10 06:07:18",27
"2025-05-10","부천점","oOs9exjt","166382401","A21016975","2025-05-10 07:47:40","2025-05-10 07:48:00",20
"2025-05-10","부천점","oOs9exjt","166382401","A21012366","2025-05-10 07:48:00","2025-05-10 07:48:25",24
"2025-05-10","부천점","oOs9exjt","166382401","A01000037","2025-05-10 07:48:25","2025-05-10 07:49:00",35
"2025-05-10","부천점","oOs9exjt","166382401","A38003482","2025-05-10 07:49:00","2025-05-10 07:49:07",6
"2025-05-10","부천점","oOs9exjt","166382401","A38001020","2025-05-10 07:49:07","2025-05-10 07:49:12",4
"2025-05-10","부천점","oOs9exjt","166382401","A38000625","2025-05-10 07:49:12","2025-05-10 07:49:35",23
"2025-05-10","부천점","oOs9exjt","166382401","A21001482","2025-05-10 07:49:35","2025-05-10 07:49:48",13
"2025-05-10","부천점","Ce4KI7ec","166382693","S0000642","2025-05-10 09:34:30","2025-05-10 09:34:58",27
"2025-05-10","부천점","Ce4KI7ec","166382693","S0000642","2025-05-10 09:34:58","2025-05-10 09:35:10",12
"2025-05-10","부천점","Ce4KI7ec","166382693","A20003951","2025-05-10 09:35:10","2025-05-10 09:35:19",9
"2025-05-10","부천점","Ce4KI7ec","166382693","A20002606","2025-05-10 09:35:19","2025-05-10 09:35:35",15
"2025-05-10","부천점","Ce4KI7ec","166382693","A20000690","2025-05-10 09:35:35","2025-05-10 09:35:41",5
"2025-05-10","부천점","Ce4KI7ec","166382693","A20000183","2025-05-10 09:35:41","2025-05-10 09:35:45",4
"2025-05-10","부천점","Ce4KI7ec","166382693","A21010545","2025-05-10 09:35:45","2025-05-10 09:36:23",37
"2025-05-10","부천점","Ce4KI7ec","166382693","A21001957","2025-05-10 09:36:23","2025-05-10 09:36:43",19
"2025-05-10","부천점","oOs9exjt","166382717","A21016389","2025-05-10 06:56:13","2025-05-10 06:57:38",85
"2025-05-10","부천점","oOs9exjt","166382717","S0006724","2025-05-10 06:57:38","2025-05-10 06:57:50",11
"2025-05-10","부천점","oOs9exjt","166382717","A20001202","2025-05-10 06:57:50","2025-05-10 06:58:20",29
"2025-05-10","부천점","oOs9exjt","166382717","A20000936","2025-05-10 06:58:20","2025-05-10 06:58:34",13
"2025-05-10","부천점","oOs9exjt","166382717","A20003851","2025-05-10 06:58:34","2025-05-10 06:58:42",7
"2025-05-10","부천점","oOs9exjt","166382717","A20003835","2025-05-10 06:58:42","2025-05-10 06:58:55",13
"2025-05-10","부천점","oOs9exjt","166382717","A21006959","2025-05-10 06:58:55","2025-05-10 06:59:42",47
"2025-05-10","부천점","oOs9exjt","166382717","A21013951","2025-05-10 06:59:42","2025-05-10 06:59:48",6
"2025-05-10","부천점","oOs9exjt","166382717","A21011016","2025-05-10 06:59:48","2025-05-10 07:00:03",14
"2025-05-10","부천점","oOs9exjt","166382909","A21017724","2025-05-10 08:48:32","2025-05-10 08:48:52",20
"2025-05-10","부천점","oOs9exjt","166382909","A20002610","2025-05-10 08:48:52","2025-05-10 08:49:06",13
"2025-05-10","부천점","oOs9exjt","166382909","A21010906","2025-05-10 08:49:06","2025-05-10 08:49:33",27
"2025-05-10","부천점","oOs9exjt","166382909","A21002078","2025-05-10 08:49:33","2025-05-10 08:49:41",8
"2025-05-10","부천점","oOs9exjt","166382909","A38000250","2025-05-10 08:49:41","2025-05-10 08:50:13",31
"2025-05-10","부천점","oOs9exjt","166382909","A21011614","2025-05-10 08:50:13","2025-05-10 08:50:30",16
"2025-05-10","부천점","oOs9exjt","166382909","S0001246","2025-05-10 08:50:30","2025-05-10 08:50:38",8
"2025-05-10","부천점","oOs9exjt","166382909","S0001247","2025-05-10 08:50:38","2025-05-10 08:50:54",15
"2025-05-10","부천점","vqdeN3Np","166382913","A20003711","2025-05-10 06:12:34","2025-05-10 06:13:01",26
"2025-05-10","부천점","vqdeN3Np","166382913","A20000958","2025-05-10 06:13:01","2025-05-10 06:13:11",10
"2025-05-10","부천점","vqdeN3Np","166382913","A20000958","2025-05-10 06:13:11","2025-05-10 06:13:16",5
"2025-05-10","부천점","vqdeN3Np","166382913","A20002338","2025-05-10 06:13:16","2025-05-10 06:13:31",14
"2025-05-10","부천점","vqdeN3Np","166382913","A20000756","2025-05-10 06:13:31","2025-05-10 06:13:40",9
"2025-05-10","부천점","vqdeN3Np","166382913","A20000683","2025-05-10 06:13:40","2025-05-10 06:13:50",9
"2025-05-10","부천점","vqdeN3Np","166382913","A20004202","2025-05-10 06:13:50","2025-05-10 06:13:59",8
"2025-05-10","부천점","km65htJ1","166382944","A20001202","2025-05-10 09:35:46","2025-05-10 09:36:06",19
"2025-05-10","부천점","km65htJ1","166382944","S0004440","2025-05-10 09:36:06","2025-05-10 09:36:13",7
"2025-05-10","부천점","km65htJ1","166382944","A20002062","2025-05-10 09:36:13","2025-05-10 09:36:24",10
"2025-05-10","부천점","km65htJ1","166382944","A20002170","2025-05-10 09:36:24","2025-05-10 09:36:42",18
