"주문일","SKU코드","SKU명","판매량(Unit)"
"2025-03-27","A20000659","신선누리 미나리 150g",410
"2025-03-27","A20000683","송이애 팽이버섯 대 360g",1104
"2025-03-27","A20000686","송이애 새송이버섯 400g",535
"2025-03-27","A20000687","송이애 미니 새송이 300g",111
"2025-03-27","A20000690","송이애 양송이 버섯 5입",242
"2025-03-27","A20000691","송이애 느타리버섯 200g",274
"2025-03-27","A20000694","MANNADA 미국산 알이 큰 레몬 2입 (220g)",15
"2025-03-27","A20000699","다향오리 냉동 오리로스 500g",9
"2025-03-27","A20000708","Dole 스위티오 파인애플 슬라이스 540g",33
"2025-03-27","A20000716","도드람한돈 냉동 뒷다리 다짐육 300g",58
"2025-03-27","A20000731","참프레 동물복지 냉동 닭 백숙용 800g",45
"2025-03-27","A20000732","참프레 동물복지 냉동 닭 볶음탕용 800g",18
"2025-03-27","A20000735","Dole 스위티오 바나나 (650g내외)",2933
"2025-03-27","A20000739","Dole 로메인하트 1봉",133
"2025-03-27","A20000741","웰프레쉬 미국산 냉동 블루베리 1kg",22
"2025-03-27","A20000742","웰프레쉬 페루산 냉동 애플망고 다이스 1kg",9
"2025-03-27","A20000754","신선누리 참나물 100g",27
"2025-03-27","A20000756","신선누리 간편대파 300g",841
"2025-03-27","A20000757","신선누리 국내산 달래 50g",125
"2025-03-27","A20000758","신선누리 취나물 120g",13
"2025-03-27","A20000759","신선누리 섬초 200g",7
"2025-03-27","A20000760","신선누리 봄동 350g",67
"2025-03-27","A20000773","프리미엄 손질 생새우살 200g",126
"2025-03-27","A20000777","서풍앤쿡 손질왕갈치 550g",9
"2025-03-27","A20000794","프리미엄 손질 왕새우살 300g",21
"2025-03-27","A20000803","김포 금쌀(추청) 4kg",7
"2025-03-27","A20000821","신선누리 데친고사리 120g (팩)",3
"2025-03-27","A20000825","송이애 손질 새송이버섯 300g",60
"2025-03-27","A20000826","송이애 생표고버섯 100g",204
"2025-03-27","A20000827","송이애 구이용버섯모듬 400g",47
"2025-03-27","A20000831","도드람한돈 암퇘지 냉장 앞다리 수육/보쌈용 500g",151
"2025-03-27","A20000853","MANNADA 칠레산 생 블루베리 310g",234
"2025-03-27","A20000854","신선누리 간편무 400g",18
"2025-03-27","A20000868","도드람한돈 냉동 삼겹살 구이용(4mm) 900g",13
"2025-03-27","A20000871","도드람한돈 냉동 등뼈 1kg",39
"2025-03-27","A20000882","새롬 샐러리 200g",42
"2025-03-27","A20000887","신선누리 간편대파 500g",40
"2025-03-27","A20000905","엑셀컷 미국산 냉장 척아이롤 스테이크 300g",21
"2025-03-27","A20000906","엑셀비프 미국산 냉장 부채살 스테이크 300g",37
"2025-03-27","A20000924","손질코다리 300g",2
"2025-03-27","A20000925","손질참조기 2마리 170g",13
"2025-03-27","A20000926","안심한돈 유황후레쉬 무항생제 냉동 대패삼겹살 300g",403
"2025-03-27","A20000928","무항생제 한돈 냉장 삼겹살 구이용 500g(1등급이상 암퇘지)",768
"2025-03-27","A20000932","무항생제 한돈 냉장 목심 구이용 500g(1등급이상 암퇘지)",172
"2025-03-27","A20000934","무항생제 한돈 냉장 앞다리 덩어리 500g(1등급이상 암퇘지)",105
"2025-03-27","A20000936","무항생제 한돈 냉장 뒷다리 불고기용 500g(1등급이상 암퇘지)",225
"2025-03-27","A20000937","안심한우 냉동 1등급 목심 샤브샤브용 300g",282
"2025-03-27","A20000939","안심한우 냉동 1등급 차돌박이 구이용 200g",316
"2025-03-27","A20000954","워터에이징 한우 냉장 안심 스테이크용 1+등급이상 200g",6
"2025-03-27","A20000955","워터에이징 한우 냉장 채끝 스테이크용 1+등급이상 200g",4
"2025-03-27","A20000956","워터에이징 한우 냉장 채끝 구이용 1+등급이상 200g",96
"2025-03-27","A20000958","워터에이징 한우 냉장 등심 구이용 1+등급이상 200g",24
"2025-03-27","A20000966","제주 금귤(낑깡) 500g",34
"2025-03-27","A20000987","도담 신고배 3~4입 (1.8kg)",39
"2025-03-27","A20000991","저스트그린 하루샐러드 양배추&적채 105g",15
"2025-03-27","A20000993","신선누리 치커리 50g",11
"2025-03-27","A20000994","신선누리 적겨자 50g",12
"2025-03-27","A20000999","국내산 유레카 블루베리 100g",12
"2025-03-27","A20001003","엑셀비프 미국산 냉장 살치살 스테이크 300g",32
"2025-03-27","A20001004","엑셀비프 미국산 냉장 척아이롤 찹스테이크 300g",3
"2025-03-27","A20001007","무항생제 한돈 냉장 미추리삼겹살 찌개용 500g(1등급이상 암퇘지)",22
"2025-03-27","A20001008","무항생제 한돈 냉장 오겹살 구이용 500g(1등급이상 암퇘지)",140
"2025-03-27","A20001014","친환경 대추방울토마토 500g",112
"2025-03-27","A20001032","팜에이트 친환경 손질 유러피안믹스 35g",31
"2025-03-27","A20001038","국내산 건대추 180g",16
"2025-03-27","A20001043","Dole 스위티오 조각 파인애플 400g",276
"2025-03-27","A20001051","제주 손질 갈치 280g내외(1미)",15
"2025-03-27","A20001079","이츠웰 냉동새우살(대 51~70 200g)",52
"2025-03-27","A20001080","이츠웰 냉동새우살(중 71~90 200g)",178
"2025-03-27","A20001087","썬키스트 블랙라벨 고당도 오렌지 6~7입 (1.3kg)",44
"2025-03-27","A20001088","폴앤박 제주 설국향 1kg",24
"2025-03-27","A20001092","Dole 스위티오 실속 파인애플 1통 (800g)",100
"2025-03-27","A20001096","엑셀비프 미국산 냉장 부채살 마리네이드 스테이크 250g",186
"2025-03-27","A20001097","새롬 된장찌개용 채소 120g",234
"2025-03-27","A20001100","청보 GAP 청경채 200g",207
"2025-03-27","A20001102","청보 GAP 청양고추 100g",4
"2025-03-27","A20001113","도드람한돈 냉장 갈매기살 구이용 300g",3
"2025-03-27","A20001124","양지뜨레 무항생제 대란 10구",28
"2025-03-27","A20001143","위너스 고추장 냉장 제육불고기 600g",770
"2025-03-27","A20001144","위너스 호주산 냉장 와규 양념 소불고기 600g",165
"2025-03-27","A20001174","엑셀비프 미국산 냉장 부채살 마리네이드 찹스테이크 250g",2
"2025-03-27","A20001183","청보 GAP 부추 200g",7
"2025-03-27","A20001200","안심한돈 냉동 등갈비(원물500g+소스100g)",54
"2025-03-27","A20001201","신선누리 적상추 200g",96
"2025-03-27","A20001202","신선누리 청상추 200g",165
"2025-03-27","A20001203","신선누리 청경채 300g",76
"2025-03-27","A20001204","신선누리 영양부추 100g",34
"2025-03-27","A20001205","신선누리 파채 100g",293
"2025-03-27","A20001206","신선누리 시금치 200g",194
"2025-03-27","A20001207","신선누리 깐쪽파 200g",41
"2025-03-27","A20001208","신선누리 쑥갓 100g",131
"2025-03-27","A20001211","신선누리 아욱 200g",15
"2025-03-27","A20001218","안심한우 2등급 워터에이징 냉장 채끝 구이용 200g",32
"2025-03-27","A20001219","엑셀비프 미국산 초이스 냉장 척아이롤 국거리용 300g",3
"2025-03-27","A20001222","미트포유 냉동 무연골 대패삼겹살 1kg",263
"2025-03-27","A20001226","MANNA 프레쉬컷 용과 150g",13
"2025-03-27","A20001246","새롬 풋고추 100g",15
"2025-03-27","A20001254","GAP 샤인머스켓 600g (1송이)",218
"2025-03-27","A20001271","GAP 샤인머스켓 1.3kg (2~3송이)",2
"2025-03-27","A20001307","위너스 냉장 제주 흑돼지 두루치기 600g",8
"2025-03-27","A20001308","위너스 냉장 제주 흑돼지 매실 양념 불고기 600g",95
"2025-03-27","A20001313","달달 한입 꿀밤고구마 1.5kg",71
"2025-03-27","A20001341","웰프레쉬 냉동 라임슬라이스 500g",1
"2025-03-27","A20001356","청오 유기발아 10곡 혼합곡 800g",5
"2025-03-27","A20001376","송이애 양송이버섯 200g",50
"2025-03-27","A20001377","송이애 생표고버섯 300g",6
"2025-03-27","A20001378","청보 친환경 무순 60g",29
"2025-03-27","A20001380","맑은물에 참좋은 국산 콩나물 240g",132
"2025-03-27","A20001390","씻어나온 한끼톡톡 고시히카리 1.5kg (1.5인분×10팩)",4
"2025-03-27","A20001392","디엠지 친환경 청경채 150g",14
"2025-03-27","A20001394","디엠지 친환경 애호박 1개",31
"2025-03-27","A20001395","디엠지 친환경 깻잎 100g",4
"2025-03-27","A20001396","디엠지 친환경 시금치 200g",26
"2025-03-27","A20001397","디엠지 친환경 깐마늘 200g",5
"2025-03-27","A20001398","디엠지 친환경 브로콜리 170g",59
"2025-03-27","A20001401","웰팜넷 친환경 간편파채 200g",7
"2025-03-27","A20001409","우리가족 살맛나는쌀 4kg",20
"2025-03-27","A20001422","디엠지 친환경 양배추 400g내외",47
"2025-03-27","A20001423","디엠지 친환경 양배추 800g내외 (1통)",77
"2025-03-27","A20001431","미트포유 냉동 삼겹살 구이용 1kg",13
"2025-03-27","A20001432","미트포유 냉동 옛날 삼겹살 1kg",315
"2025-03-27","A20001448","만인애 GAP 깐쪽파 200g",110
"2025-03-27","A20001449","만인애 GAP 부추 250g",57
"2025-03-27","A20001450","만인애 GAP 백오이 3입",445
"2025-03-27","A20001452","만인애 GAP 청상추 200g",658
"2025-03-27","A20001453","만인애 GAP 적상추 200g",8
"2025-03-27","A20001455","만인애 양상추 450g이상",187
"2025-03-27","A20001457","만인애 바질 20g",23
"2025-03-27","A20001476","엘그로 씻어나온 깨끗한쌀 청결미 3kg",129
"2025-03-27","A20001479","무항생제 한돈 냉장 통삼겹 500g(1등급 암퇘지 선별)",107
"2025-03-27","A20001501","양지뜨레 동물복지 유정란 대란 15구",195
"2025-03-27","A20001511","청보 친환경 감자 500g",40
"2025-03-27","A20001515","맑은물에 국산 촌두부 2컵두부 300g",64
"2025-03-27","A20001516","맑은물에 참청포묵 300g",33
"2025-03-27","A20001520","스프링팜 미국산 CAB 냉장 부채살 스테이크 200g",1
"2025-03-27","A20001524","스프링팜 미국산 초이스 냉장 갈비살 구이용 200g",16
"2025-03-27","A20001530","신선누리 모듬쌈채소 200g",173
"2025-03-27","A20001531","신선누리 케일 100g",39
"2025-03-27","A20001532","신선누리 쌈추 100g",6
"2025-03-27","A20001533","청보 와일드 루꼴라 50g",92
"2025-03-27","A20001535","친환경 국내산 골드키위 6~10입 (750g내외)",41
"2025-03-27","A20001536","청보 모듬새싹 100g",36
"2025-03-27","A20001537","청보 GAP쌈총사 150g",3
"2025-03-27","A20001539","만인애 손질 쌈용 맛배추 400g",64
"2025-03-27","A20001548","새롬 감자 800g",11
"2025-03-27","A20001550","새롬 깐양파 500g (2~3입)",359
"2025-03-27","A20001552","건목이버섯 30g",2
"2025-03-27","A20001557","새롬 깐대파 200g",1527
"2025-03-27","A20001560","새롬 청양고추 100g",3
"2025-03-27","A20001562","친환경 설향 딸기 480g",44
"2025-03-27","A20001563","친환경 금실 딸기 480g",38
"2025-03-27","A20001571","달달한 꿀밤 고구마 1kg (봉)",236
"2025-03-27","A20001572","청보 깐감자 220g 이상",416
"2025-03-27","A20001578","엑셀비프 미국산 냉장 립엔드(등심) 찹스테이크 250g",29
"2025-03-27","A20001606","GAP 단감 5입 (1.1kg내외)",88
"2025-03-27","A20001618","안심한우 워터에이징 냉장 안심 2등급 200g",5
"2025-03-27","A20001625","박수진 생산자의 두리향 유기농 딸기 350g",19
"2025-03-27","A20001630","PSK 미국산 대용량 레몬 1kg (9~11입)",27
"2025-03-27","A20001631","씻어나온 신동진쌀 3kg",31
"2025-03-27","A20001642","오아로 GAP 파프리카 1입 (180g이상)",17
"2025-03-27","A20001643","오아로 GAP 파프리카 2입 (280g이상)",269
"2025-03-27","A20001645","만인애 GAP 추부깻잎 3속",261
"2025-03-27","A20001646","만인애 GAP 가지 3입",39
"2025-03-27","A20001652","썬키스트 이스라엘 레드 자몽 4입 (1.3kg)",16
"2025-03-27","A20001653","퓨어스펙 블랙라벨 고당도 오렌지 5~6입 (1.1kg)",39
"2025-03-27","A20001654","팜에이트 양배추와 적채 300g",15
"2025-03-27","A20001655","팜에이트 유러피안 샐러드 130g",73
"2025-03-27","A20001661","GAP 귤로장생 한라봉 1.5kg",9
"2025-03-27","A20001663","문경 사과 5~6입 (1.3kg)",42
"2025-03-27","A20001669","예산 설향 딸기 500g",14
"2025-03-27","A20001678","만인애 샤브샤브용 모둠채소 550g",24
"2025-03-27","A20001686","청춘불판 무뼈불닭발 200g",7
"2025-03-27","A20001695","미트포유 냉동 벌집 삼겹살 500g",35
"2025-03-27","A20001696","디엠지 친환경 풋고추 150g",4
"2025-03-27","A20001697","디엠지 친환경 청양고추 100g",22
"2025-03-27","A20001698","디엠지 친환경 오이 2입",112
"2025-03-27","A20001699","디엠지 친환경 대파 300g",33
"2025-03-27","A20001705","성주농협 참외 1kg (3~5입)",309
"2025-03-27","A20001721","심플잇 김치볶음밥 포켓누룽지 36g×12입",4
"2025-03-27","A20001730","신선누리 돌나물 150g",16
"2025-03-27","A20001731","신선누리 냉이 120g",93
"2025-03-27","A20001744","수입산 아스파라거스 200g",18
"2025-03-27","A20001745","국내산 흙당근 1kg",158
"2025-03-27","A20001746","국내산 오이맛고추 200g",121
"2025-03-27","A20001747","국내산 가지 2입",147
"2025-03-27","A20001748","국내산 친환경 청양고추 100g",112
"2025-03-27","A20001749","국내산 친환경 오이맛고추 150g",18
"2025-03-27","A20001750","국내산 햇감자 1.2kg",21
"2025-03-27","A20001753","국내산 친환경 무 1개",68
"2025-03-27","A20001758","신선누리 잎손질대파 200g",40
"2025-03-27","A20001760","썬키스트 블랙라벨 고당도 오렌지 10~18입 (2.5kg)",2
"2025-03-27","A20001761","퓨어스펙 블랙라벨 고당도 오렌지 8입 (1.5kg)",17
"2025-03-27","A20001762","임금님표 이천쌀 4kg",35
"2025-03-27","A20001772","GAP 귤로장생 천혜향 1.5kg",28
"2025-03-27","A20001783","워터에이징 한우 냉장 정육 불고기용 1+등급이상 300g",12
"2025-03-27","A20001784","만인애 고수 50g",24
"2025-03-27","A20001787","맥그로우앤마리 냉동 망고 청크 1kg (베트남)",51
"2025-03-27","A20001792","청보 GAP 미니파프리카 200g",8
"2025-03-27","A20001793","청보 친환경 쌈케일 100g",46
"2025-03-27","A20001794","만인애 친환경 포기로메인 300g",26
"2025-03-27","A20001817","스테비아 자달 대추방울토마토 500g",535
"2025-03-27","A20001831","오아로 GAP 파프리카 3~4입 (550g 이상)",24
"2025-03-27","A20001835","미트엔조이 미국산 냉동 우삼겹 600g",113
"2025-03-27","A20001836","미트엔조이 호주산 냉장 안심 스테이크 150g",5
"2025-03-27","A20001837","미트엔조이 호주산 냉장 곡물 치마살 300g",1
"2025-03-27","A20001839","국내산 반건조 오징어 3마리 (320g 내외)",26
"2025-03-27","A20001840","완도에서 난 자른 다시마 50g",31
"2025-03-27","A20001844","풀무원 국산 다진마늘 260g",106
"2025-03-27","A20001854","국내산 꽃새우 120g",7
"2025-03-27","A20001855","안심이력제 남해안 국물용멸치 300g",12
"2025-03-27","A20001856","안심이력제 남해안 볶음용멸치 300g",6
"2025-03-27","A20001857","안심이력제 남해안 볶음조림용멸치 300g",8
"2025-03-27","A20001858","오늘의곡물 국산 24곡혼식 800g",15
"2025-03-27","A20001861","오늘의곡물 국산 현미 1kg",27
"2025-03-27","A20001864","오늘의곡물 병아리콩 800g",23
"2025-03-27","A20001870","오트밀 850g",36
"2025-03-27","A20001874","오늘의곡물 국산 발아현미 1kg",7
"2025-03-27","A20001875","오늘의곡물 국산 찹쌀 1kg",43
"2025-03-27","A20001876","오늘의곡물 국산 찰현미 1kg",15
"2025-03-27","A20001877","오늘의곡물 국산 검정찰현미 1kg",18
"2025-03-27","A20001878","오늘의곡물 국산 차조 450g",3
"2025-03-27","A20001887","특등급 완전미 김제 신동진 5kg",4
"2025-03-27","A20001888","특등급 완전미 예산 삼광미 5kg",1
"2025-03-27","A20001889","특등급 완전미 평택 고시히카리 5kg",11
"2025-03-27","A20001892","상주 자연 건조 반건시 10입",19
"2025-03-27","A20001895","국내산 바지락살 300g",13
"2025-03-27","A20001900","Dole 유기농 바나나 (500g)",22
"2025-03-27","A20001906","제주 손질 갈치 380g (특)",4
"2025-03-27","A20001921","밀양 꽈리고추 200g",36
"2025-03-27","A20001922","밀양 청홍고추 150g",20
"2025-03-27","A20001925","화산농협 해남 꿀밤고구마 2kg",1
"2025-03-27","A20001960","안심한우 2등급 워터에이징 냉장 등심 구이용 200g",8
"2025-03-27","A20001966","미트엔조이 국찌개용 모듬팩(소분팩) 500g",11
"2025-03-27","A20001967","미트엔조이 호주산 냉동 다짐육 모듬팩(소분팩) 500g",36
"2025-03-27","A20001983","목우촌 주부9단 김밥햄 170g×2EA",95
"2025-03-27","A20001984","목우촌 냉장 국내산소고기 양지 세절 국거리용 200g",120
"2025-03-27","A20001985","목우촌 냉장 국내산소고기 등심 구이용 200g",147
"2025-03-27","A20001986","목우촌 냉장 국내산소고기 채끝 구이용 200g",91
"2025-03-27","A20001987","목우촌 냉장 국내산소고기 정육 세절 국거리용 200g",117
"2025-03-27","A20001988","목우촌 냉장 국내산소고기 카레용 200g",7
"2025-03-27","A20001995","국내산 친환경 쌈배추 400g",268
"2025-03-27","A20001996","마미! 노르웨이 고등어필렛 400g(3개입)",26
"2025-03-27","A20001997","안동간고등어 250g",53
"2025-03-27","A20002000","웰프레쉬 칠레산 냉동 체리 500g",11
"2025-03-27","A20002002","대천김 곱창캔김 30g(52매)",268
"2025-03-27","A20002020","임금님표 이천쌀 2kg",80
"2025-03-27","A20002023","일리윤 프레쉬모이스춰 립앤아이리무버 300ml",9
"2025-03-27","A20002025","웨신 뱀부 소프트 바디브러쉬",2
"2025-03-27","A20002026","웨신 러버그립 2중 커브빗(그린)",2
"2025-03-27","A20002028","웨신 유로형 콘핀 헤어브러쉬",2
"2025-03-27","A20002030","아토팜 징크 마일드 업 선크림 65g",2
"2025-03-27","A20002031","아토팜 야외놀이 선스틱 21g (SPF50+ PA++++)",1
"2025-03-27","A20002037","만인애 흙생강 100g",17
"2025-03-27","A20002038","만인애 절단 알배기배추 1통",10
"2025-03-27","A20002046","친환경 황기 50g",13
"2025-03-27","A20002052","Dole 필리핀 골드 파인애플 (1.3kg내외)",5
"2025-03-27","A20002053","스미후루 로즈바나나 (350g)",7
"2025-03-27","A20002058","스테비아 파인토 블랙 대추방울토마토 500g",41
"2025-03-27","A20002060","국내산 건오징어 1마리 (60g 내외)",57
"2025-03-27","A20002062","[배민이지] 무항생제 대란 20구",137
"2025-03-27","A20002074","친환경 절단샐러리 250g",75
"2025-03-27","A20002075","친환경 절단대파 200g",137
"2025-03-27","A20002076","친환경 조각무 400g",72
"2025-03-27","A20002077","친환경 저민마늘 100g",145
"2025-03-27","A20002087","강원대화농협 조각양배추 400g",14
"2025-03-27","A20002089","강원대화농협 비트 1입 300g",6
"2025-03-27","A20002091","강원대화농협 한통 양배추 900g",41
"2025-03-27","A20002119","만인애 GAP 흙대파 700g",38
"2025-03-27","A20002121","청원생명농협 왕의밥상쌀 2kg",11
"2025-03-27","A20002126","청원생명농협 유기농쌀 2kg",16
"2025-03-27","A20002137","미트엔조이 호주산 냉장 모듬 국거리용 300g",15
"2025-03-27","A20002138","미트엔조이 호주산 냉장 모듬 다짐육 300g",34
"2025-03-27","A20002154","친환경 완숙토마토 1kg",65
"2025-03-27","A20002160","테일러 유기농 푸룬 210g",13
"2025-03-27","A20002161","밀양 풋고추 150g",2
"2025-03-27","A20002162","밀양 오이맛 고추 200g",23
"2025-03-27","A20002163","밀양 홍고추 150g",21
"2025-03-27","A20002170","국내산 애호박 1개",1853
"2025-03-27","A20002171","청도반건시 10입",10
"2025-03-27","A20002174","공주 밤 800g",3
"2025-03-27","A20002175","공주 깐밤 150g",48
"2025-03-27","A20002178","송가네 사과 5~7입 (1.2kg내외)",75
"2025-03-27","A20002179","모두유통 완숙토마토 1.2kg",81
"2025-03-27","A20002182","신선한 국내산 양상추 320g내외",7
"2025-03-27","A20002187","황태포 1미 (80g 내외)",2
"2025-03-27","A20002189","목우촌 냉장 국내산 소고기 갈비살 200g",3
"2025-03-27","A20002190","목우촌 냉동 국내산 소고기 설도 불고기용 200g",5
"2025-03-27","A20002191","목우촌 냉동 국내산 소고기 차돌박이 구이용 200g",31
"2025-03-27","A20002193","송가네 사과 1입 (230g내외)",57
"2025-03-27","A20002225","밀양연근 600g(봉)",12
"2025-03-27","A20002236","도담 GAP 사과 4~5입",346
"2025-03-27","A20002241","오늘의곡물 국산 찰기장쌀 500g",4
"2025-03-27","A20002242","오늘의곡물 국산 찰수수쌀 500g",2
"2025-03-27","A20002244","오늘의곡물 렌틸콩 500g",14
"2025-03-27","A20002245","오늘의곡물 퀴노아 500g",4
"2025-03-27","A20002247","국내산 당귀잎 35g",29
"2025-03-27","A20002248","국내산 적근대 100g",2
"2025-03-27","A20002249","국내산 당귀모듬쌈 200g",24
"2025-03-27","A20002250","국내산 근대 200g",2
"2025-03-27","A20002253","양지뜨레 무항생제 대란 30구",744
"2025-03-27","A20002258","GAP 상주 백오이 3입",946
"2025-03-27","A20002313","팜에이트 루꼴라 30g(팩)",163
"2025-03-27","A20002314","팜에이트 고수 30g(팩)",50
"2025-03-27","A20002315","청오 유기농 발아 현미 350g",8
"2025-03-27","A20002319","생칵테일새우 900g(소, 62~80마리)",1
"2025-03-27","A20002320","블랙타이거새우 500g (15미)",34
"2025-03-27","A20002322","오늘의곡물 혼합 15곡 800g",18
"2025-03-27","A20002326","[배민이지] 입자 그대로 살린 국산 다진마늘 150g",107
"2025-03-27","A20002327","[배민이지] 입자 그대로 살린 국산 다진마늘 250g",19
"2025-03-27","A20002328","PSK 칠레산 생 블루베리 125g (특)",301
"2025-03-27","A20002338","밀양 청양고추 150g",1996
"2025-03-27","A20002340","국내산 세척당근 1kg",18
"2025-03-27","A20002348","산수골목장 한돈 냉동 두팩 대패삼겹살 500g(250g×2입)",1
"2025-03-27","A20002349","산수골목장 한돈 냉동 두팩 옛날삼겹살 500g(250g×2입)",46
"2025-03-27","A20002350","산수골목장 한돈 냉동 두팩 대패목살 500g(250g×2입)",19
"2025-03-27","A20002351","산수골목장 한돈 냉동 두팩 대패앞다리살 500g(250g×2입)",4
"2025-03-27","A20002389","국내산 남해 시금치 200g",291
"2025-03-27","A20002393","알찬 큰 토마토 2kg",4
"2025-03-27","A20002396","감숙왕 바나나 2입 (250g)",200
"2025-03-27","A20002406","산수골목장 한돈 냉동 두팩뒷다리 다짐육 500g(250g×2입)",80
"2025-03-27","A20002407","산수골목장 한돈 냉동 두팩 앞다리 찌개용500g(250g×2입)",5
"2025-03-27","A20002411","MANNADA 칠레산 생 블루베리 125g (특)",96
"2025-03-27","A20002414","풀무원 특등급 국산콩 투컵 두부 600g",29
"2025-03-27","A20002427","미트엔조이 미국산 초이스 냉장 살치살 스테이크용 200g",1
"2025-03-27","A20002435","고령 설향 딸기 500g",841
"2025-03-27","A20002441","국내산 배추 1통",1
"2025-03-27","A20002445","하동 옥종농협 설향 딸기 500g",763
"2025-03-27","A20002449","국내산 브로콜리 1입",27
"2025-03-27","A20002453","친환경 창녕 깐마늘 200g",30
"2025-03-27","A20002458","GAP 밀양 깻잎 60g",331
"2025-03-27","A20002460","신선누리 간편부추 100g",911
"2025-03-27","A20002465","폴앤박 제주 스위트 숙성키위 8입 (720g내외)",31
"2025-03-27","A20002466","스테비아 자달 대추방울토마토 1kg",72
"2025-03-27","A20002467","위너스 서울식 냉동 육회 150g (간장 베이스)",1
"2025-03-27","A20002475","목우촌 무항생제 IQF 닭다리 1kg",58
"2025-03-27","A20002476","목우촌 무항생제 IQF 닭가슴살 1kg",161
"2025-03-27","A20002480","[배민이지] 고소한 국산 안동콩 100% 두부 300g",162
"2025-03-27","A20002482","PSK 칠레산 생 체리 400g (10row)",117
"2025-03-27","A20002496","신선누리 포항초 200g",32
"2025-03-27","A20002497","상주 곶감 12입",7
"2025-03-27","A20002503","김정문알로에 큐어 플러스크림 80g",1
"2025-03-27","A20002505","PSK 페루산 씨없는 애플청포도 500g",17
"2025-03-27","A20002507","[배민이지] 무항생제 특란 20구",46
"2025-03-27","A20002508","[배민이지] 무항생제 특란 10구",288
"2025-03-27","A20002517","산수골목장 한돈 냉동 두팩 뒷다리살 짜장카레용 500g(250g×2입)",55
"2025-03-27","A20002523","미트엔조이 캐나다산 냉동 우삼겹 바로구이 500g",61
"2025-03-27","A20002524","실속 세척당근 1kg",42
"2025-03-27","A20002533","솔방울오징어 200g",52
"2025-03-27","A20002535","ARDO 냉동 콜리플라워라이스 450g",21
"2025-03-27","A20002544","산수골목장 한돈 냉동 두팩 갈비찜용 800g(400g×2입)",15
"2025-03-27","A20002559","국산으로 골라담은 해물모듬 300g",18
"2025-03-27","A20002568","모두유통 흑토마토(쿠마토) 750g",38
"2025-03-27","A20002595","산수골목장 한돈 냉동 두팩 한입목살 500g(250g×2입)",11
"2025-03-27","A20002596","산수골목장 한돈 냉동 두팩 한입삼겹&목살 반반팩 500g(250g×2입)",16
"2025-03-27","A20002597","산수골목장 한돈 냉동 두팩 대패 뒷다리 불고기 500g(250g×2입)",16
"2025-03-27","A20002598","무항생제 한우 냉동 1등급 이유식용 1단계 240g",16
"2025-03-27","A20002599","무항생제 한우 냉동 1등급 이유식용 2단계 240g",40
"2025-03-27","A20002601","만인애 흙생강 300g",3
"2025-03-27","A20002605","오늘의곡물 국산 오곡찰밥 800g",6
"2025-03-27","A20002606","국내산 깐양파 500g 이상(2~3입)",1214
"2025-03-27","A20002607","국내산 깐적양파 300g 이상",96
"2025-03-27","A20002610","국내산 깐양배추 1통 900g 이상",54
"2025-03-27","A20002611","국내산 깐양배추 1/2컷 500g 이상",23
"2025-03-27","A20002612","국내산 세척무 850g 이상",7
"2025-03-27","A20002615","루비호두 150g",13
"2025-03-27","A20002631","제주감귤농협 한라봉 4~6입 (1kg)",21
"2025-03-27","A20002637","냉동 가득담은 해물모듬 500g",38
"2025-03-27","A20002645","저탄소 실속 참외 1kg (3~6입)",142
"2025-03-27","A20002648","송이애 갈색 만가닥 버섯 150g",30
"2025-03-27","A20002649","송이애 흰색 만가닥 버섯 150g",22
"2025-03-27","A20002650","송이애 친환경 황금팽이 180g",18
"2025-03-27","A20002654","신선누리 세발나물 150g",17
"2025-03-27","A20002655","신선누리 방풍나물 150g",3
"2025-03-27","A20002661","미트엔조이 미국산 냉동 LA 꽃갈비 1kg",4
"2025-03-27","A20002664","미트엔조이 미국산 냉동 차돌박이 구이용 500g",44
"2025-03-27","A20002670","새롬 카레용 채소 300g",231
"2025-03-27","A20002673","안동농협 국산콩 순두부 400g",16
"2025-03-27","A20002682","서귀포 한라 한라봉 3~5입 (1kg)",340
"2025-03-27","A20002683","서귀포 한라 천혜향 3~6입 (1kg)",342
"2025-03-27","A20002700","이플원 미국산 냉동 실속 국거리 500g(250g×2)",14
"2025-03-27","A20002706","화식한우 1등급 냉장 정육 국거리용 300g",304
"2025-03-27","A20002707","화식한우 1등급 냉장 정육 불고기용 300g",77
"2025-03-27","A20002708","화식한우 1등급 냉장 양지 국거리용 300g",7
"2025-03-27","A20002744","신선누리 흙대파 800g",208
"2025-03-27","A20002750","웰프레쉬 페루산 냉동 딸기 1kg",44
"2025-03-27","A20002761","MANNADA 베트남 영코코넛 1입 (500g이상)",3
"2025-03-27","A20002762","Dole 100% 망고 과즙 주스 1L",13
"2025-03-27","A20002763","Dole 100% 파인애플 과즙 주스 1L",18
"2025-03-27","A20002772","엑셀비프 미국산 냉동 우삼겹(소스 증정) 600g",6
"2025-03-27","A20002775","퓨어스펙 블랙라벨 고당도 오렌지 11~15입 (2kg)",155
"2025-03-27","A20002794","국내산 깐양배추 1/4컷 300g 이상",324
"2025-03-27","A20002795","국내산 조각 세척무 200g 이상",190
"2025-03-27","A20002799","사과바나나 바나플 (320g)",117
"2025-03-27","A20002800","폴앤박 베트남 속이 하얀 용과 3입 (1.2kg)",5
"2025-03-27","A20002807","제주감귤농협 천혜향 4~6입 (1kg)",84
